0,0,,,0
0,0,,,0
0,0,,,0
0,0,,,0
1,0,,,0
1,0,,,0
1,0,,,0
2,0,,,0
2,0,,,0
2,0,,,0
2,0,,,0
3,0,,,0
3,0,,,0
3,0,,,0
3,0,,,0
4,0,,,0
4,0,,,0
4,0,,,0
5,0,,,0
5,0,,,0
5,0,,,0
5,0,,,0
6,0,,,0
6,0,,,0
6,0,,,0
7,0,,,0
7,0,,,0
8,0,,,0
8,0,,,0
9,0,,,0
9,0,,,0
10,0,,,0
10,0,,,0
11,0,,,0
11,0,,,0
12,0,,,0
13,0,,,0
13,0,,,0
14,0,,,0
14,0,,,0
15,0,,,0
16,0,,,0
16,0,,,0
17,0,,,0
17,0,,,0
18,0,,,0
18,0,,,0
19,0,,,34
20,0,,,44
20,0,,,50
21,0,,,51
21,0,,,49
22,0,,,49
23,0,,,52
23,0,,,47
24,0,,,48
24,0,,,39
25,0,,,34
25,0,,,26
26,0,,,26
27,0,,,41
27,0,,,52
28,0,,,62
28,0,,,72
29,0,,,76
29,0,,,65
30,0,,,63
31,0,,,63
31,0,,,70
32,0,,,71
32,0,,,82
33,0,,,87
34,0,,,82
34,0,,,91
35,0,,,101
35,0,,,92
36,0,,,99
36,0,,,101
37,0,,,94
38,0,,,98
38,0,,,95
39,0,,,98
39,0,,,96
40,0,,,100
41,0,,,96
41,0,,,97
43,0,,,95
43,0,,,96
44,0,,,95
44,0,,,100
45,0,,,100
46,0,,,97
46,0,,,96
47,0,,,96
47,0,,,95
48,0,,,99
49,0,,,99
49,0,,,99
50,0,,,97
50,0,,,98
51,0,,,96
51,0,,,98
52,0,,,98
53,0,,,96
53,0,,,98
54,0,,,100
54,0,,,97
55,0,,,97
55,0,,,99
56,0,,,99
57,0,,,98
57,0,,,98
58,0,,,97
58,0,,,98
59,0,,,98
60,0,,,99
60,0,,,98
61,0,,,99
61,0,,,99
62,0,,,101
62,0,,,99
63,0,,,98
64,0,,,98
64,0,,,98
65,0,,,99
65,0,,,99
66,0,,,99
67,0,,,98
67,0,,,96
68,0,,,98
68,0,,,100
69,0,,,99
69,0,,,99
70,0,,,98
71,0,,,98
71,0,,,98
72,0,,,97
72,0,,,98
73,0,,,98
